selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
get_in_degree_maps1,19.085,18.79000,20.05500,19.87500,19.37000,19.51000,20.32000,20.56500,19.24500,19.39500,20.42000,18.62000,19.81500
get_in_degree_maps2,19.085,19.59000,18.86500,20.53000,20.33500,20.36500,20.09000,19.63000,19.01500,20.04500,20.13500,19.25500,19.89000
get_in_degree_maps3,19.085,20.26000,17.81000,20.25000,19.20500,18.93500,20.22000,20.10500,18.82000,20.68000,19.56000,19.89500,19.82500
get_in_degree_maps4,19.085,20.27500,19.78000,19.59500,19.16000,19.96500,19.79000,19.22500,20.16500,20.56000,19.56000,20.71000,20.58000
get_out_degree_maps1,19.085,20.08500,19.73000,19.50500,19.59500,19.96500,20.09000,20.12000,20.15500,19.96000,20.04000,20.40000,20.51500
get_out_degree_maps2,19.085,19.92500,19.34500,19.67000,19.61500,19.53500,19.55500,19.22000,19.59000,20.23500,20.20500,20.68000,20.06500
get_out_degree_maps3,19.085,19.09000,19.63500,19.84500,20.34500,20.41500,19.62000,20.78000,20.74500,20.65500,20.82500,20.90000,19.96000
get_out_degree_maps4,19.085,19.62500,19.14500,19.01000,20.49500,19.67000,20.56500,19.56500,20.52500,20.58500,20.28000,20.17500,19.85000
get_both_degree_maps1,19.085,19.45000,19.55500,19.59500,20.08500,20.10000,20.43500,19.45000,20.53500,21.18500,19.63500,19.82500,20.58500
get_both_degree_maps2,19.085,19.26500,19.72000,20.49000,19.92000,19.13000,20.39000,20.15500,19.60500,20.80000,20.67500,20.30500,20.26000
get_both_degree_maps3,19.085,18.68000,20.06000,19.45500,19.53000,18.83000,20.26000,19.39500,20.93000,20.63000,19.76500,20.29500,21.17000
get_both_degree_maps4,19.085,20.65000,19.32000,19.75000,20.17500,19.91500,19.97000,18.58000,18.91000,20.76000,20.55500,20.11000,20.58000
random,19.085,18.37000,19.62000,19.69000,19.90500,18.79000,17.43000,18.85500,20.17500,18.89500,19.35500,19.43500,19.54500
