selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
get_in_degree_maps1,0.215,0.20500,0.25000,0.20000,0.18500,0.23000,0.18000,0.25500,0.19500,0.14500,0.18000,0.27500,0.16500
get_in_degree_maps2,0.215,0.15000,0.19500,0.26000,0.16500,0.19000,0.24500,0.21000,0.18500,0.22000,0.16000,0.26500,0.20000
get_in_degree_maps3,0.215,0.23000,0.17500,0.22500,0.23000,0.29000,0.16000,0.20500,0.25500,0.22000,0.21000,0.19000,0.23500
get_in_degree_maps4,0.215,0.24000,0.24000,0.17500,0.19000,0.28000,0.23500,0.21000,0.26000,0.17500,0.22000,0.16500,0.25500
get_out_degree_maps1,0.215,0.28500,0.21500,0.25500,0.23000,0.22000,0.22000,0.28000,0.30000,0.20000,0.22500,0.20500,0.16500
get_out_degree_maps2,0.215,0.19000,0.19500,0.22500,0.23000,0.30500,0.23500,0.25500,0.25000,0.24000,0.21500,0.19000,0.18000
get_out_degree_maps3,0.215,0.18500,0.25500,0.23500,0.26000,0.20000,0.23500,0.23500,0.24500,0.32500,0.20500,0.16500,0.24000
get_out_degree_maps4,0.215,0.16000,0.27000,0.25500,0.29000,0.20500,0.25000,0.20500,0.23000,0.17000,0.34000,0.25000,0.19000
get_both_degree_maps1,0.215,0.22500,0.23500,0.27500,0.28500,0.25000,0.28000,0.20000,0.19500,0.28500,0.29000,0.16000,0.26000
get_both_degree_maps2,0.215,0.20000,0.20000,0.28000,0.19500,0.27500,0.24500,0.22000,0.28500,0.27500,0.20000,0.22000,0.14000
get_both_degree_maps3,0.215,0.23500,0.25000,0.23000,0.27500,0.28500,0.23000,0.31500,0.15500,0.25000,0.23000,0.25500,0.17000
get_both_degree_maps4,0.215,0.18500,0.24500,0.20000,0.26500,0.17500,0.25000,0.20000,0.21000,0.24000,0.18500,0.15000,0.19500
random,0.215,0.14500,0.17500,0.19500,0.20500,0.13500,0.18000,0.14500,0.14000,0.16000,0.16500,0.14000,0.26000
