selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
get_in_degree_maps1,0.21,0.42500,0.38500,0.57500,0.47500,0.47000,0.38000,0.43000,0.46500,0.35500,0.46500,0.41000,0.41500
get_in_degree_maps2,0.21,0.33000,0.40000,0.53500,0.45000,0.43500,0.46000,0.37500,0.53000,0.60000,0.52500,0.41000,0.30500
get_in_degree_maps3,0.21,0.45500,0.47500,0.57000,0.45000,0.51000,0.34500,0.30500,0.35000,0.50500,0.42000,0.34000,0.39500
get_in_degree_maps4,0.21,0.32500,0.33000,0.61500,0.43500,0.45500,0.48500,0.39000,0.42500,0.36000,0.40000,0.46500,0.44500
get_out_degree_maps1,0.21,0.43500,0.42000,0.63000,0.41000,0.41000,0.52000,0.34000,0.47000,0.46500,0.43000,0.44000,0.43500
get_out_degree_maps2,0.21,0.43000,0.37500,0.55000,0.40000,0.53000,0.40000,0.47000,0.37500,0.53500,0.53000,0.41000,0.39500
get_out_degree_maps3,0.21,0.40000,0.47000,0.43000,0.47500,0.60000,0.66000,0.42000,0.42500,0.40500,0.35000,0.51000,0.51000
get_out_degree_maps4,0.21,0.40000,0.35500,0.46500,0.48000,0.50500,0.39000,0.47000,0.49500,0.46000,0.30500,0.49000,0.57000
get_both_degree_maps1,0.21,0.39500,0.43500,0.54500,0.55500,0.59000,0.41000,0.43500,0.55500,0.57000,0.46000,0.40000,0.37500
get_both_degree_maps2,0.21,0.33500,0.44000,0.45000,0.44000,0.39000,0.47500,0.37000,0.43500,0.37000,0.45000,0.42500,0.41000
get_both_degree_maps3,0.21,0.42500,0.50000,0.44000,0.40000,0.48500,0.35500,0.50500,0.48000,0.47500,0.55500,0.43500,0.32500
get_both_degree_maps4,0.21,0.33500,0.38000,0.47500,0.65000,0.55000,0.45500,0.40500,0.50000,0.34500,0.42000,0.47500,0.40000
random,0.21,0.29000,0.16500,0.23500,0.20500,0.30000,0.33000,0.23500,0.32000,0.28500,0.13000,0.17500,0.27500
