selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
get_in_degree_maps1,0.075,0.05000,0.05500,0.03000,0.06500,0.04000,0.08500,0.07500,0.04500,0.04500,0.04000,0.03500,0.03000
get_in_degree_maps2,0.075,0.03500,0.04500,0.06500,0.08500,0.05500,0.08000,0.05500,0.05500,0.08500,0.02000,0.06500,0.08000
get_in_degree_maps3,0.075,0.08500,0.05500,0.06000,0.04500,0.06500,0.06500,0.03000,0.08000,0.07500,0.04500,0.06500,0.06000
get_in_degree_maps4,0.075,0.02500,0.10500,0.05500,0.07000,0.06000,0.03000,0.06000,0.07500,0.05000,0.04500,0.06000,0.07500
get_out_degree_maps1,0.075,0.04000,0.05000,0.10500,0.09500,0.11500,0.10000,0.14500,0.14000,0.09000,0.18000,0.18000,0.18500
get_out_degree_maps2,0.075,0.05500,0.07500,0.11500,0.12500,0.09500,0.09000,0.11000,0.12000,0.15500,0.08500,0.14000,0.11000
get_out_degree_maps3,0.075,0.06000,0.06000,0.06500,0.08500,0.11000,0.06500,0.11500,0.09500,0.16000,0.15000,0.12000,0.16000
get_out_degree_maps4,0.075,0.03000,0.05000,0.14500,0.09000,0.09000,0.12000,0.12500,0.15000,0.14000,0.16000,0.13500,0.17000
get_both_degree_maps1,0.075,0.06000,0.07500,0.09500,0.08000,0.06000,0.11000,0.09000,0.08500,0.09000,0.09500,0.11000,0.08500
get_both_degree_maps2,0.075,0.06000,0.09000,0.07500,0.08500,0.05500,0.09000,0.11000,0.13000,0.09000,0.12000,0.12000,0.07500
get_both_degree_maps3,0.075,0.05000,0.10500,0.09500,0.09000,0.06500,0.10500,0.12000,0.08500,0.12000,0.13000,0.17500,0.17500
get_both_degree_maps4,0.075,0.06500,0.07500,0.09500,0.09500,0.06500,0.11000,0.10000,0.12500,0.12500,0.15000,0.12500,0.13000
random,0.075,0.03500,0.07500,0.03500,0.03000,0.07000,0.01500,0.07000,0.03000,0.04000,0.04000,0.04500,0.05500
