selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
in_degree0,0.225,0.21500,0.16500,0.34000,0.21000,0.15000,0.19000,0.16500,0.21000,0.19000,0.20500,0.29500,0.15500
in_degree1,0.225,0.15500,0.19000,0.19500,0.11000,0.18000,0.19500,0.17500,0.21500,0.16000,0.29500,0.19500,0.13000
in_degree2,0.225,0.17500,0.18500,0.16500,0.16500,0.26000,0.17000,0.22500,0.23500,0.13000,0.25500,0.17500,0.11500
in_degree3,0.225,0.20000,0.27500,0.16000,0.19000,0.20500,0.24500,0.18000,0.24000,0.25500,0.14000,0.21000,0.15000
in_degree4,0.225,0.25500,0.18500,0.16500,0.21500,0.22000,0.18000,0.19500,0.22500,0.18500,0.16500,0.19500,0.19000
out_degree0,0.225,0.16000,0.37000,0.26000,0.24500,0.20500,0.22500,0.19500,0.24500,0.27500,0.22000,0.24500,0.20000
out_degree1,0.225,0.15500,0.18000,0.20000,0.16500,0.18000,0.16500,0.22000,0.18000,0.17000,0.15000,0.21000,0.17000
out_degree2,0.225,0.20500,0.21500,0.17000,0.23500,0.22000,0.18500,0.26500,0.15000,0.20000,0.20500,0.15000,0.14500
out_degree3,0.225,0.15500,0.27500,0.20500,0.16000,0.17000,0.23000,0.22500,0.19000,0.17500,0.21500,0.16000,0.15000
out_degree4,0.225,0.18500,0.22500,0.19000,0.24000,0.14000,0.18000,0.23500,0.19500,0.20500,0.19000,0.28500,0.25500
both_degree0,0.225,0.22000,0.17500,0.21500,0.26500,0.22500,0.25000,0.29000,0.18500,0.19000,0.21500,0.17000,0.15500
both_degree1,0.225,0.19000,0.16000,0.21000,0.19500,0.19000,0.23500,0.16500,0.21500,0.20000,0.25500,0.22000,0.17000
both_degree2,0.225,0.15500,0.19500,0.15500,0.17000,0.12500,0.19000,0.14500,0.20000,0.19000,0.23500,0.14000,0.16500
both_degree3,0.225,0.26000,0.16000,0.17500,0.15000,0.18500,0.19000,0.22000,0.13000,0.19000,0.21000,0.28500,0.16500
both_degree4,0.225,0.22500,0.17000,0.15000,0.16500,0.19000,0.22000,0.25000,0.13000,0.15500,0.16500,0.14000,0.19000
random,0.225,0.12000,0.07500,0.06500,0.12500,0.06000,0.10000,0.14500,0.06000,0.06500,0.11000,0.07500,0.05000
